,Circuit,Succesful Attempts,Failed Attempts,Success Rate,SSE,Shots Taken,Runtime,Guess of a,One qubit error Prob,Two qubit error Prob,Readout error Prob,T1,T2
66,"One-qubit errors, readout error and thermal relaxation error Circuit",74511,25489,0.74511,4.174674999999996,100000,00:01:40.532,8,5.9625e-05,0.0,0.0043625,24.41,27.7925
67,"Two-qubit errors, readout error and thermal relaxation error Circuit",74106,25894,0.74106,27.158302499999994,100000,00:01:54.200,8,0.0,0.00209225,0.0043625,24.41,27.7925
68,Optimal Circuit,50268,49732,0.50268,0.0,100000,00:00:00.629,11,0.0,0.0,0.0,0.0,0.0
69,Guadalupe Circuit,49750,50250,0.4975,5546.50085,100000,00:03:40.614,11,-1.0,-1.0,-1.0,-1.0,-1.0
70,Combined error Circuit,49140,50860,0.4914,132.5307249999999,100000,00:02:16.478,11,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
71,One-qubit errors only Circuit,49859,50141,0.49859,1.6323250000000091,100000,00:02:01.452,11,5.9625e-05,0.0,0.0,0.0,0.0
72,Two-qubit errors only Circuit,49209,50791,0.49209,52.829530000000005,100000,00:02:15.937,11,0.0,0.00209225,0.0,0.0,0.0
73,Readout errors only Circuit,49394,50606,0.49394,24.631809999999952,100000,00:00:00.613,11,0.0,0.0,0.0043625,0.0,0.0
74,Thermal Relaxation errors only Circuit,50013,49987,0.50013,0.6502500000000124,100000,00:00:00.411,11,0.0,0.0,0.0,24.41,27.7925
75,One-qubit and two-qubit errors Circuit,49325,50675,0.49325,55.533219999999965,100000,00:02:15.831,11,5.9625e-05,0.00209225,0.0,0.0,0.0
76,One-qubit errors and readout error Circuit,49490,50510,0.4949,22.97250499999999,100000,00:02:01.155,11,5.9625e-05,0.0,0.0043625,0.0,0.0
77,Two-qubit errors and readout error Circuit,49266,50734,0.49266,138.72462499999995,100000,00:02:15.667,11,0.0,0.00209225,0.0043625,0.0,0.0
78,One-qubit errors and thermal relaxation error Circuit,49999,50001,0.49999,0.6720250000000021,100000,00:02:01.166,11,5.9625e-05,0.0,0.0,24.41,27.7925
79,Two-qubit errors and thermal relaxation error Circuit,49276,50724,0.49276,53.076964999999916,100000,00:02:15.822,11,0.0,0.00209225,0.0,24.41,27.7925
80,Readout error and thermal relaxation error Circuit,49324,50676,0.49324,25.224364999999977,100000,00:00:01.146,11,0.0,0.0,0.0043625,24.41,27.7925
81,"One-qubit errors, two-qubit errors and readout error Circuit",48930,51070,0.4893,139.02604999999988,100000,00:02:16.291,11,5.9625e-05,0.00209225,0.0043625,0.0,0.0
82,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",49380,50620,0.4938,54.796205000000114,100000,00:02:16.065,11,5.9625e-05,0.00209225,0.0,24.41,27.7925
83,"One-qubit errors, readout error and thermal relaxation error Circuit",49501,50499,0.49501,25.66142500000002,100000,00:02:01.441,11,5.9625e-05,0.0,0.0043625,24.41,27.7925
84,"Two-qubit errors, readout error and thermal relaxation error Circuit",49182,50818,0.49182,134.13992499999995,100000,00:02:16.282,11,0.0,0.00209225,0.0043625,24.41,27.7925
85,Optimal Circuit,75150,24850,0.7515,0.0,100000,00:00:00.411,13,0.0,0.0,0.0,0.0,0.0
86,Guadalupe Circuit,74324,25676,0.74324,1271.0248499999998,100000,00:04:09.691,13,-1.0,-1.0,-1.0,-1.0,-1.0
87,Combined error Circuit,74258,25742,0.74258,26.962652499999955,100000,00:02:47.183,13,5.9625e-05,0.00209225,0.0043625,24.41,27.7925
88,One-qubit errors only Circuit,74905,25095,0.74905,1.2758099999999901,100000,00:02:32.471,13,5.9625e-05,0.0,0.0,0.0,0.0
89,Two-qubit errors only Circuit,74714,25286,0.74714,11.059992499999991,100000,00:02:46.555,13,0.0,0.00209225,0.0,0.0,0.0
90,Readout errors only Circuit,74753,25247,0.74753,4.429754999999991,100000,00:00:00.904,13,0.0,0.0,0.0043625,0.0,0.0
91,Thermal Relaxation errors only Circuit,74979,25021,0.74979,0.5060299999999989,100000,00:00:00.417,13,0.0,0.0,0.0,24.41,27.7925
92,One-qubit and two-qubit errors Circuit,74540,25460,0.7454,10.64489749999999,100000,00:02:45.479,13,5.9625e-05,0.00209225,0.0,0.0,0.0
93,One-qubit errors and readout error Circuit,74783,25217,0.74783,4.738087499999989,100000,00:02:32.354,13,5.9625e-05,0.0,0.0043625,0.0,0.0
94,Two-qubit errors and readout error Circuit,74287,25713,0.74287,26.233187499999964,100000,00:02:48.380,13,0.0,0.00209225,0.0043625,0.0,0.0
95,One-qubit errors and thermal relaxation error Circuit,75025,24975,0.75025,0.5318749999999988,100000,00:02:32.901,13,5.9625e-05,0.0,0.0,24.41,27.7925
96,Two-qubit errors and thermal relaxation error Circuit,74340,25660,0.7434,10.600264999999968,100000,00:02:46.577,13,0.0,0.00209225,0.0,24.41,27.7925
97,Readout error and thermal relaxation error Circuit,74553,25447,0.74553,4.895654999999984,100000,00:00:00.618,13,0.0,0.0,0.0043625,24.41,27.7925
98,"One-qubit errors, two-qubit errors and readout error Circuit",74254,25746,0.74254,27.04521249999998,100000,00:02:46.239,13,5.9625e-05,0.00209225,0.0043625,0.0,0.0
99,"One-qubit errors, two-qubit errors and thermal relaxation error Circuit",74576,25424,0.74576,10.742169999999987,100000,00:02:49.262,13,5.9625e-05,0.00209225,0.0,24.41,27.7925
100,"One-qubit errors, readout error and thermal relaxation error Circuit",74792,25208,0.74792,4.71179499999999,100000,00:02:32.210,13,5.9625e-05,0.0,0.0043625,24.41,27.7925
101,"Two-qubit errors, readout error and thermal relaxation error Circuit",73827,26173,0.73827,28.610604999999964,100000,00:02:47.857,13,0.0,0.00209225,0.0043625,24.41,27.7925
